,Air_Temp_DEGC,Soil_Temp_DEGC,Soil_Classification,Crop,Fert_Ammend_Class,target
920,0.0,0.0,6.0,0.0,1.0,665.1662267
513,0.0,0.0,6.0,0.0,3.0,585.1628762
3479,0.0,0.0,2.0,0.0,1.0,38759.91203
5689,0.0,0.0,4.0,4.0,3.0,0.0
1573,7.5,0.0,1.0,1.0,1.0,3613.845959
7051,0.0,0.0,4.0,3.0,1.0,0.0
2186,7.745,0.0,1.0,1.0,2.0,2224.698413
7273,0.0,0.0,4.0,3.0,1.0,0.0
6597,0.0,0.0,4.0,3.0,1.0,0.0
6209,0.0,0.0,4.0,4.0,3.0,0.0
2699,22.26666667,18.4,2.0,0.0,3.0,15773.80383
210,0.0,0.0,6.0,0.0,0.0,634.360821
5459,0.0,0.0,4.0,4.0,3.0,0.0
2926,28.46666667,24.825,2.0,0.0,3.0,41043.71596
5685,0.0,0.0,4.0,4.0,3.0,0.0
6173,0.0,0.0,4.0,0.0,1.0,0.0
710,0.0,0.0,6.0,0.0,1.0,1436.27342
6095,0.0,0.0,4.0,4.0,3.0,0.0
6061,0.0,0.0,4.0,4.0,3.0,0.0
1323,15.375,16.7,7.0,3.0,1.0,23929.39018
6106,0.0,0.0,4.0,4.0,3.0,0.0
359,0.0,0.0,6.0,0.0,3.0,945.2588022
1546,7.6,0.0,1.0,1.0,2.0,3422.705047
1129,27.15,21.35,7.0,3.0,2.0,125139.5365
1126,27.8875,30.3,7.0,3.0,2.0,131998.0568
2485,3.873,0.0,1.0,1.0,3.0,1759.9847309999998
4413,0.0,9.61111111,8.0,1.0,3.0,13309.574
3861,26.53333333,23.475,2.0,0.0,3.0,27285.56492
5361,0.0,0.0,4.0,4.0,3.0,0.0
1631,6.2,0.0,1.0,1.0,2.0,5301.965891
5291,0.0,0.0,4.0,4.0,3.0,0.0
326,0.0,0.0,6.0,0.0,3.0,569.416249
4546,0.0,12.72222222,8.0,1.0,3.0,13287.3432
315,0.0,0.0,6.0,0.0,3.0,403.3630797
1952,12.59,0.0,1.0,1.0,1.0,4950.53549
7476,0.0,0.0,4.0,3.0,1.0,0.0
4626,0.0,16.72222222,8.0,1.0,3.0,7055.8503
1538,12.6,0.0,1.0,1.0,1.0,6585.478039
7445,0.0,0.0,4.0,3.0,1.0,0.0
2836,0.0,0.0,2.0,0.0,3.0,23656.5257
13,0.0,0.0,6.0,0.0,3.0,847.2695994999998
5614,0.0,0.0,0.0,0.0,3.0,0.0
5249,0.0,0.0,4.0,4.0,3.0,0.0
4104,0.0,0.0,2.0,0.0,3.0,19692.80026
2726,0.0,0.0,2.0,0.0,3.0,26235.31201
5636,0.0,0.0,4.0,0.0,3.0,0.0
5196,0.0,0.0,4.0,4.0,3.0,0.0
5380,0.0,0.0,4.0,4.0,3.0,0.0
1382,19.575,17.65,7.0,3.0,1.0,3487.2916170000008
6278,0.0,0.0,4.0,0.0,1.0,0.0
1223,5.05,-0.55,7.0,3.0,2.0,2211.459738
507,0.0,0.0,6.0,0.0,3.0,1098.115594
3944,0.0,0.0,2.0,0.0,3.0,26190.33749
3584,0.0,0.0,2.0,0.0,2.0,32201.8149
5683,0.0,0.0,4.0,0.0,1.0,0.0
3469,0.0,0.0,2.0,0.0,1.0,33280.51623
2400,14.6,0.0,1.0,1.0,2.0,8538.369157
2449,13.35,0.0,1.0,1.0,2.0,21126.513
1851,8.2,0.0,1.0,1.0,1.0,793.9144136
1102,5.2375,3.65,7.0,3.0,2.0,6224.372057
1447,5.875,0.1,7.0,3.0,1.0,3305.178598
6911,0.0,0.0,4.0,3.0,1.0,0.0
3345,0.0,0.0,2.0,0.0,3.0,36679.61813
5084,-4.77040816,0.0,5.0,0.0,3.0,2423.461869
7016,0.0,0.0,4.0,3.0,1.0,0.0
7111,0.0,0.0,4.0,3.0,1.0,0.0
3463,0.0,0.0,2.0,0.0,1.0,33567.05248
1436,32.8625,32.95,7.0,3.0,1.0,14966.34457
4733,0.0,18.94444444,8.0,1.0,3.0,12888.4106
3561,0.0,0.0,2.0,0.0,2.0,37512.28973
4999,6.0,3.0,5.0,0.0,3.0,4704.121651
1470,13.7,0.0,1.0,1.0,2.0,5692.617802000002
7371,0.0,0.0,4.0,3.0,1.0,0.0
280,0.0,0.0,6.0,0.0,3.0,815.2400955
1206,23.8375,22.05,7.0,3.0,2.0,56797.222
907,0.0,0.0,6.0,0.0,1.0,587.8971604
3050,23.3,19.525,2.0,0.0,3.0,25772.47983
6256,0.0,0.0,4.0,4.0,3.0,0.0
